Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
0.419680246,0.502331045,0.121682753,-1.692288213,0.994177506,0.983046853,1.025702315,0.465627773,0.148323966,0.993243887,7,4,4,5,6,10,10,0,0,1,0,1,1,3,3
1.684883779,-0.524296518,-0.643021258,-0.320775527,-0.998172386,-0.776522775,0.69655177,-0.884447495,0.380697114,-0.276707196,10,10,10,7,2,6,7,0,0,1,0,1,0,4,5
0.294414299,-0.019652586,-0.643021258,0.492203297,-0.190414369,-0.818516551,-1.237571375,-0.563898316,0.22058023,1.525013786,10,10,10,8,3,5,5,0,0,1,0,1,1,3,3
-0.163520292,0.042100461,1.503089667,-0.878124171,-0.523175855,-1.721310144,-0.456252273,-0.705637844,-1.413760415,-0.313181683,8,10,2,8,9,5,4,0,0,1,1,1,0,3,4
0.428626732,0.233715037,-0.643021258,0.255367853,-1.526192182,0.029143883,-0.185979592,-1.656183355,0.22058023,0.365658687,7,5,4,3,6,5,6,1,1,0,0,0,0,3,3
1.533762242,1.779439702,-0.643021258,1.378775734,-1.526192182,0.98601783,1.249881895,-1.691905973,1.251286735,-0.2199968,6,8,2,5,5,4,5,0,0,1,0,0,0,4,3
-0.260005444,-0.29029032,1.503089667,-0.548719568,-0.846948929,0.086526643,-0.336644221,-0.452382048,0.213235815,0.163245866,8,9,5,3,4,5,2,0,0,1,0,1,0,4,4
0.049228031,0.527467051,-0.643021258,0.244037453,-0.317819443,0.066196454,-0.395947164,-1.028957162,-1.741644381,-1.846018342,10,9,2,7,8,3,3,0,0,1,1,1,0,2,1
-0.241002293,0.22115445,1.503089667,-0.174145085,0.548189014,-0.617442914,-0.203240321,-0.999703618,1.666449265,-1.467172397,3,8,6,8,2,3,1,0,0,0,0,0,0,5,5
1.17003944,-0.749458608,-0.643021258,1.258778254,0.355881376,-0.964684694,-1.237571375,0.773108468,-1.572086907,0.86215169,9,10,2,8,6,7,7,0,0,1,1,1,1,4,4
