"","CRT","Internal_locus","Chance","Powerful_Others","TIS"
"899",2,15,11,12,13
"900",0,15,12,14,14
"901",0,8,8,10,15
"902",2,7,13,5,22
"903",0,12,10,4,8
"904",2,11,12,12,19
"905",0,10,13,6,16
"906",0,12,12,12,13
"907",0,5,7,4,16
"908",0,11,11,12,16
"909",0,10,14,11,8
"910",2,7,9,7,13
"911",2,9,9,9,17
"912",2,9,13,9,18
"913",1,10,13,7,15
"914",0,11,14,15,15
"915",0,11,12,13,16
"916",1,9,8,8,16
"917",1,12,12,12,17
"918",3,9,12,13,16
"919",0,8,8,7,10
"920",0,6,7,13,5
"921",0,4,8,5,16
"922",3,19,19,19,9
"923",1,11,16,15,13
"924",0,12,10,13,15
"925",1,9,13,9,21
"926",0,8,21,15,25
"927",0,13,13,13,18
"928",1,8,14,8,13
"929",0,10,20,14,11
"930",0,6,9,7,9
"931",0,9,6,6,19
"932",1,11,6,7,13
"933",1,13,9,11,15
"934",0,8,11,7,17
"935",2,7,10,10,16
"936",2,8,9,9,14
"937",0,13,14,16,14
"938",0,14,8,14,17
"939",3,10,12,11,11
"940",0,9,21,6,7
"941",1,4,15,3,18
"942",1,15,13,12,19
"943",0,11,7,12,10
"944",1,15,9,8,12
"945",0,11,19,17,12
"946",2,6,5,6,9
"947",1,10,7,5,17
"948",0,11,17,14,13
"949",0,10,14,13,16
"950",0,11,7,9,15
"951",1,12,3,15,15
"952",1,14,14,12,10
"953",2,9,13,13,17
"954",1,15,18,17,15
"955",1,7,10,12,20
"956",0,14,16,6,8
"957",1,13,6,8,5
"958",1,15,3,9,10
"959",2,14,7,11,9
"960",0,9,13,10,9
"961",0,11,16,14,16
"962",2,9,9,6,5
"963",1,11,13,10,13
"964",1,10,10,8,13
"965",3,12,12,12,9
"966",1,12,10,10,14
"967",1,16,8,14,17
"968",1,5,8,5,10
"969",0,12,11,16,11
"970",1,10,9,13,16
"971",0,8,9,6,10
"972",0,11,13,12,12
"973",1,5,13,7,15
"974",1,14,10,6,16
"975",3,10,15,10,15
"976",2,14,14,13,16
"977",3,11,11,11,15
"978",3,15,15,14,15
"979",3,8,9,7,12
"980",0,11,14,8,18
"981",0,12,16,13,9
"982",3,7,9,7,22
"983",0,14,11,13,14
"984",0,11,14,13,15
"985",0,11,7,9,15
"986",1,9,9,7,8
"987",1,3,7,9,18
"988",2,9,10,9,15
"989",0,3,6,9,21
"990",1,11,13,6,17
"991",0,10,12,10,18
"992",0,12,12,12,15
"993",0,10,16,13,13
"994",0,12,9,9,17
"995",3,12,4,11,17
"996",3,6,15,7,18
"997",1,16,14,16,14
"998",0,10,11,11,5
"999",0,12,15,13,10
"1000",1,11,17,16,15
"1001",0,12,12,12,13
"1002",0,7,16,7,17
"1003",0,6,14,11,9
"1004",0,13,8,11,15
"1005",1,9,8,12,8
